2016-10,46566.7100255489,NULL,NULL,22
2016-12,19.6200008392334,46566.7100255489,-99.96,17
2017-01,127545.670061409,19.6200008392334,649979.84,7
2017-02,271298.64942044,127545.670061409,112.71,5
2017-03,414369.389492899,271298.64942044,52.74,6
2017-04,390952.1796211,414369.389492899,-5.65,15
2017-05,567066.730110908,390952.1796211,45.05,3
2017-06,490225.60035187,567066.730110908,-13.55,18
2017-07,566403.929553956,490225.60035187,15.54,9
2017-08,646000.609818114,566403.929553956,14.05,8
2017-09,701169.990426049,646000.609818114,8.54,10
2017-10,751140.269746352,701169.990426049,7.13,11
2017-11,1153528.04966929,751140.269746352,53.57,1
2017-12,843199.169983819,1153528.04966929,-26.9,21
2018-01,1078606.8590547,843199.169983819,27.92,2
2018-02,966510.880171269,1078606.8590547,-10.39,19
2018-03,1120677.99968685,966510.880171269,15.95,4
2018-04,1132933.95078584,1120677.99968685,1.09,13
2018-05,1128836.69109618,1132933.95078584,-0.36,14
2018-06,1012090.68072913,1128836.69109618,-10.34,20
2018-07,1027903.85912536,1012090.68072913,1.56,12
2018-08,985414.281306982,1027903.85912536,-4.13,16
